2.7.1.175	MAK1_MYCTU Maltokinase	mak
2.1.1.226	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
2.4.1.36		
1.14.14.12	HSAA_MYCTU Flavin-dependent monooxygenase, oxygenase subunit HsaA	hsaA
2.1.1.227	TLYA_MYCTU 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	tlyA
2.4.99.16	GLGE_MYCTU Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase	glgE
6.2.1.41	FAD3_MYCTU 3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	fadD3
6.2.1.42	FAC19_MYCTU Long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	fadD19
5.4.99.3		
2.3.2.21	CDTS_MYCTU Cyclo(L-tyrosyl-L-tyrosyl) synthase	Rv2275
4.2.3.B36		
2.7.7.94		
2.5.1.113	CYSM_MYCTU O-phosphoserine sulfhydrylase	cysM
2.7.7.98		
2.4.1.250	MSHA_MYCTU D-inositol 3-phosphate glycosyltransferase	mshA
1.3.99.38	MENJ_MYCTU Menaquinone reductase	menJ
3.5.1.119	DOP_MYCTU Pup deamidase/depupylase	dop
2.7.7.95		
4.2.3.B31		
4.2.3.B30		
4.2.3.B33		
2.3.1.252	MSL3_MYCTU Mycolipanoate synthase	msl3
3.1.7.9	TUBOL_MYCTU Diterpene synthase	Rv3378c
4.2.3.B32		
4.2.3.B35		
4.2.3.B34		
2.4.2.47	AFTC_MYCTU Alpha-(1->3)-arabinofuranosyltransferase	aftC
2.1.1.334		
2.8.2.37	STF0_MYCTU Trehalose 2-sulfotransferase	stf0
2.4.1.342	GLGM_MYCTU Alpha-maltose-1-phosphate synthase	glgM
3.7.1.17	HSAD_MYCTU 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	hsaD
2.3.2.7		
3.4.21.B1		
2.3.1.261		
3.4.22.B66		
